Company,Symbol,Price,Change,Percent Change,PE Ratio,More Info
"Tesla, Inc.",TSLA,705.21,-3.05,-0.43%,95.30,https://finance.yahoo.com/quote/TSLA?p=TSLA
"Tesla, Inc.",TSLA,705.21,-3.05,-0.43%,95.30,https://finance.yahoo.com/quote/TSLA?p=TSLA
